Tag,Text,Href,Src,Value,Date-Time
a,Sweatshirts,https://www.snapdeal.com/products/women-apparel-sweatshirts?sort=plrty,,,
p,Cardigans & Pullovers,,,,
a,Cardigans & Pullovers,https://www.snapdeal.com/products/women-apparel-sweaters-cardigans?sort=plrty,,,
p,Shrugs & Waistcoats,,,,
a,Shrugs & Waistcoats,https://www.snapdeal.com/products/women-apparel-shrugs-waistcoats?sort=plrty,,,
p,Maternity Wear,,,,
a,Maternity Wear,https://www.snapdeal.com/products/maternity-wear?sort=plrty,,,
p,Handbags & Clutches,,,,
a,Handbags & Clutches,https://www.snapdeal.com/products/handbags-clutches,,,
p,Handbags,,,,
a,Handbags,https://www.snapdeal.com/products/lifestyle-handbags-wallets?sort=plrty,,,
p,Wallets,,,,
a,Wallets,https://www.snapdeal.com/products/women-wallets?sort=plrty,,,
p,Clutches,,,,
a,Clutches,https://www.snapdeal.com/products/bags-clutches?sort=plrty,,,
p,Utility bags,,,,
a,Utility bags,https://www.snapdeal.com/products/bags-utility,,,
p,,,,,
a,,,,,
p,Eyewear,,,,
a,Eyewear,https://www.snapdeal.com/products/eyewear?sort=plrty,,,
p,Sunglasses,,,,
a,Sunglasses,https://www.snapdeal.com/products/lifestyle-sunglasses,,,
p,Spectacle Frames,,,,
a,Spectacle Frames,https://www.snapdeal.com/products/lifestyle-frames,,,
p,Watches,,,,
a,Watches,https://www.snapdeal.com/products/watches-women,,,
p,Fashion Jewellery,,,,
a,Fashion Jewellery,https://www.snapdeal.com/products/jewellery-fashion?sort=plrty,,,
p,Necklaces & Sets,,,,
a,Necklaces & Sets,https://www.snapdeal.com/products/jewelry-necklaces-sets?sort=plrty,,,
p,Earrings,,,,
a,Earrings,https://www.snapdeal.com/products/jewelry-earrings?sort=plrty,,,
p,Bangles & Bracelets,,,,
a,Bangles & Bracelets,https://www.snapdeal.com/products/jewelry-bangles-bracelets?sort=plrty,,,
p,Pendants & Sets,,,,
a,Pendants & Sets,https://www.snapdeal.com/products/jewelry-pendant-sets?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/jewellery-fashion,,,
p,Gold Coins & Bars,,,,
a,Gold Coins & Bars,https://www.snapdeal.com/products/jewelry-coins-bars?sort=plrty,,,
p,Fashion Accessories,,,,
a,Fashion Accessories,https://www.snapdeal.com/products/fashion-women?sort=plrty,,,
p,Hair Accessories,,,,
a,Hair Accessories,https://www.snapdeal.com/products/women-hair-accessories?sort=plrty,,,
p,Stoles & Scarves,,,,
a,Stoles & Scarves,https://www.snapdeal.com/products/women-stoles-scarves?sort=plrty,,,
p,Socks & Stockings,,,,
a,Socks & Stockings,https://www.snapdeal.com/products/women-socks-stockings?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/fashion-women?sort=plrty,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
a,,https://www.snapdeal.com/products/watches-women?q=hpsaScore_tf1%3A1%7Cdiscount%3A50%20-%2060%5E60%20-%2070%5E70%20-%2080%5E80%20-%2090%7C&sort=plrty,,,
img,,,,,
a,Home & Kitchen,javascript:void(0);,,,
p,Kitchen Appliances,,,,
a,Kitchen Appliances,https://www.snapdeal.com/products/appliances-kitchen,,,
p,Juicer Mixer Grinders,,,,
a,Juicer Mixer Grinders,https://www.snapdeal.com/products/appliances-juicer-mixer-grinders,,,
p,Water Purifiers,,,,
a,Water Purifiers,http://www.snapdeal.com/products/appliances-water-purifiers,,,
p,Gas Stoves & Hobs,,,,
a,Gas Stoves & Hobs,https://www.snapdeal.com/products/appliances-gas-stoves-hobs,,,
p,Chimneys,,,,
a,Chimneys,https://www.snapdeal.com/products/appliances-chimney-hoods,,,
p,Induction Cooktops,,,,
a,Induction Cooktops,https://www.snapdeal.com/products/appliances-induction-cookers,,,
p,Kettles & Coffee Makers,,,,
a,Kettles & Coffee Makers,https://www.snapdeal.com/products/appliances-coffee-makers-kettles,,,
p,Choppers & Blenders,,,,
a,Choppers & Blenders,https://www.snapdeal.com/products/appliances-choppers-blenders,,,
p,Sandwich Makers,,,,
a,Sandwich Makers,https://www.snapdeal.com/products/appliances-sandwich-makers,,,
p,Roti Makers,,,,
a,Roti Makers,https://www.snapdeal.com/products/appliances-toasters-roti-makers,,,
p,Electric Cookers,,,,
a,Electric Cookers,https://www.snapdeal.com/products/appliances-rice-cookers-steamers,,,
p,Air Fryers,,,,
a,Air Fryers,https://www.snapdeal.com/products/appliances-rice-cookers-steamers/filters/Type_s~Air%20Fryer,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/appliances-kitchen?sort=plrty,,,
p,Kitchenware,,,,
a,Kitchenware,https://www.snapdeal.com/products/home-kitchen,,,
p,Cookware & Bakeware,,,,
a,Cookware & Bakeware,https://www.snapdeal.com/products/home-kitchen-cookware-bakeware/?,,,
p,Kitchen Storage,,,,
a,Kitchen Storage,https://www.snapdeal.com/products/home-kitchen-kitchen-storage,,,
p,Dining & Serving,,,,
a,Dining & Serving,https://www.snapdeal.com/products/home-kitchen-dining-serving,,,
p,Kitchen Tools,,,,
a,Kitchen Tools,https://www.snapdeal.com/products/home-kitchen-cutting-cooking-tools,,,
p,Pressure Cookers,,,,
a,Pressure Cookers,https://www.snapdeal.com/products/pressure-cookers?sort=plrty,,,
p,Water Bottles,,,,
a,Water Bottles,https://www.snapdeal.com/products/water-bottles?sort=plrty,,,
p,Tea & Coffeeware,,,,
a,Tea & Coffeeware,https://www.snapdeal.com/products/home-kitchen-tea-coffee-serveware,,,
p,Bar Accessories,,,,
a,Bar Accessories,https://www.snapdeal.com/products/home-kitchen-bar-glassware,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/home-kitchen?sort=plrty,,,
p,Home Furnishing,,,,
a,Home Furnishing,https://www.snapdeal.com/products/home-furnishing,,,
p,Bed Linen,,,,
a,Bed Linen,https://www.snapdeal.com/products/home-kitchen-bed-linen,,,
p,Bath Linen,,,,
a,Bath Linen,https://www.snapdeal.com/products/bathroom-furnishing,,,
p,Blankets & Quilts,,,,
a,Blankets & Quilts,https://www.snapdeal.com/products/home-furnishing-blankets-quilts,,,
p,Curtains & Accessories,,,,
a,Curtains & Accessories,https://www.snapdeal.com/products/home-kitchen-curtains-blinds,,,
p,Mattresses,,,,
a,Mattresses,https://www.snapdeal.com/products/home-furnishing-mattress-protectors,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/home-furnishing?sort=plrty,,,
p,Furniture,,,,
a,Furniture,https://www.snapdeal.com/products/furniture?sort=plrty#bcrumbLabelId:617,,,
p,Storage & Display,,,,
a,Storage & Display,https://www.snapdeal.com/products/furniture-storage-cabinets?sort=plrty,,,
p,Bean Bags,,,,
a,Bean Bags,https://www.snapdeal.com/products/home-kitchen-bean-bags?sort=plrty,,,
p,Tables & Desks,,,,
a,Tables & Desks,https://www.snapdeal.com/products/furniture-tables?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/furniture?sort=plrty,,,
p,Home Décor,,,,
a,Home Décor,https://www.snapdeal.com/products/home-kitchen-home-decoratives,,,
p,Lighting Fixtures,,,,
a,Lighting Fixtures,https://www.snapdeal.com/products/home-kitchen-lamps,,,
p,Wall Decor,,,,
a,Wall Decor,https://www.snapdeal.com/products/home-kitchen-wall-decor,,,
p,Gifts & Decor,,,,
a,Gifts & Decor,javascript:void(0);,,,
p,Religion & Spirituality,,,,
a,Religion & Spirituality,https://www.snapdeal.com/products/home-kitchen-religion-spirituality,,,
p,LED Bulbs,,,,
a,LED Bulbs,https://www.snapdeal.com/products/led-bulbs?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/home-kitchen-home-decoratives?sort=plrty,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,,,,,
a,,,,,
p,Home Improvement,,,,
a,Home Improvement,https://www.snapdeal.com/products/home-improvement,,,
p,Home Utility,,,,
a,Home Utility,https://www.snapdeal.com/products/home-improvement-utility,,,
p,Cleaning Mops,,,,
a,Cleaning Mops,https://www.snapdeal.com/products/home-cleaning-mops?sort=plrty,,,
p,Plants & Gardening,,,,
a,Plants & Gardening,https://www.snapdeal.com/products/home-kitchen-gardening,,,
p,Ironing Boards,,,,
a,Ironing Boards,https://www.snapdeal.com/products/home-utility-ironing-boards?sort=plrty,,,
p,Home Cleaning,,,,
a,Home Cleaning,https://www.snapdeal.com/products/home-kitchen-home-cleaning,,,
p,Laundry Accessories,,,,
a,Laundry Accessories,https://www.snapdeal.com/products/home-utility-laundry-bath-accessories?sort=plrty,,,
p,View All,,,,
a,View All,https://www.snapdeal.com/products/home-improvement,,,
p,Tools & Hardware,,,,
a,Tools & Hardware,https://www.snapdeal.com/products/kitchen-bathroom-fittings,,,
p,Power & Hand Tools,,,,
a,Power & Hand Tools,https://www.snapdeal.com/products/home-kitchen-hardware-fixtures,,,
p,Bathroom Accessories,,,,
a,Bathroom Accessories,https://www.snapdeal.com/products/home-kitchen-sanitary-bathroom-fittings,,,
p,Electrical,,,,
a,Electrical,https://www.snapdeal.com/products/kitchen-bathroom-fittings-electrical-equipment,,,
p,Taps & Showers,,,,
a,Taps & Showers,https://www.snapdeal.com/products/kitchen-bathroom-fittings-taps-faucets,,,
p,Safes Lock & Door Fitting,,,,
a,Safes Lock & Door Fitting,https://www.snapdeal.com/products/safes-locks-door-fittings,,,
p,Sanitaryware,,,,
